pedidos,casos,id_general,estado,organismo_informante,nro_de_expediente_interno,forma_del_pedido,punto_de_ingreso,sector_al_que_se_dirige_la_solicitud,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_organismo,fecha_de_recepcion_de_la_solicitud_por_el_organismo,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_enlace,fecha_de_recepcion_de_la_solicitud_por_el_enlace,perfil_del_solicitante,sintesis_de_la_solicitud,rubro_de_solicitud_de_informacion,sector_al_que_derivo_el_enlace_dentro_del_organismo,plazo_en_el_que_se_contesto_la_solicitud,forma_de_aviso_de_uso_de_la_prorroga_al_solicitante,condicion_de_respuesta,isodatetime_fecha_de_la_respuesta,fecha_de_la_respuesta,cargo_del_funcionario_que_firma_la_entrega_de_la_informacion
36.0,80,MDS-794-2015,Abierto,Ministerio de Desarrollo Social,N-83287-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-06T00:00:00-03:00,11/6/2015,2015-11-09T00:00:00-03:00,11/9/2015,Particular,Destinatariod e dichos Programa,Información político - institucional,Direción Nacional de Formación de Actores Territoriales,,,Pendiente,,,
36.0,81,MDS-795-2015,Abierto,Ministerio de Desarrollo Social,N-83287-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-06T00:00:00-03:00,11/6/2015,2015-11-09T00:00:00-03:00,11/9/2015,Particular,Objetivo concreto por el cual se creó,Información político - institucional,Direción Nacional de Formación de Actores Territoriales,,,Pendiente,,,
37.0,82,MDS-796-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-84959-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-17T00:00:00-03:00,11/17/2015,2015-11-17T00:00:00-03:00,11/17/2015,Particular,Medios que permiten obtener constancia de recepción mediante los cuales el organismo a su cargo realiza las notificaciones en áreas rurales de la Provincia de Formosa,Información político - institucional,,En el plazo de 10 días,,Brindó la información,2015-11-24T00:00:00-03:00,24/11/2015,
38.0,83,MDS-797-2015,Abierto,Ministerio de Desarrollo Social,N-84957,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-17T00:00:00-03:00,11/17/2015,2015-11-17T00:00:00-03:00,11/17/2015,Particular,"Nómina de entidades o personas responsables de la distribución de alimentos a las familias bajo programa del Plan Nacional de Seguridad Alimentaria en la provincia de Formosa, desagregando la información por año, departamento y localidad desde el 2010 hasta la actualidad.",Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
39.0,84,MDS-798-2015,Abierto,Ministerio de Desarrollo Social,N-84956-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-17T00:00:00-03:00,11/17/2015,2015-11-17T00:00:00-03:00,11/17/2015,Particular,"Nómina actual de entidades o personas responsables de tramitar la incorporación de familias al Plan Nacional de Seguridad Alimetnaria, en la provincia de Formosa, desagregando la información  por departamento y localidad",Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
40.0,85,MDS-799-2015,Cerrado en plazo,Ministerio de Desarrollo Social,N-84955-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-17T00:00:00-03:00,11/17/2015,2015-11-17T00:00:00-03:00,11/17/2015,Particular,"Nómina del personal que integra la Secretaría de Niñez, Adolescencia y Familia en las provincias de Formosa y Chaco, perfil profesional de los mismos, funiciones que desempeñan, desagregando la información por departamento y localidad",información político - institucional,Sennaf,En el plazo de 10 días,,Brindó la información,2015-11-24T00:00:00-03:00,24/11/2015,"Secretario Nacional de Niñez, Adolescencia y Familia"
41.0,86,MDS-800-2015,Abierto,Ministerio de Desarrollo Social,N-84960-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-17T00:00:00-03:00,11/17/2015,2015-11-17T00:00:00-03:00,11/17/2015,Particular,"Frecuencia de entrega de alimentos o de depósito para uso de la tarjeta bancaria desde el inicio del Plan de Seguridad Alimentaria hasta la fecha, desagregando la información por meses y años en la provincia de Formosa",Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
42.0,87,MDS-801-2015,Abierto,Ministerio de Desarrollo Social,N-84763-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,"Listado  de alimentos que se entregan a las familias bajo Programa del Plan Nacionald e Seguridad Alimentaria en la pcia. Formosa a partir del 2010, depsagregado por año. Numero actual de flias por cobro de tarjeta, entrega de alimetnos o plan especial, desagregado de igual forma.",Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
43.0,88,MDS-802-2015,Abierto,Ministerio de Desarrollo Social,N-84764-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,"Numero de altas y bajas en los padrones de flias bajo Plan Nacional de Seg. Alimentaria por la provincia de Formosa, desagregado por depto y localidad desde el año 2010.",Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
44.0,89,MDS-803-2015,Abierto,Ministerio de Desarrollo Social,N-84766-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,Mecanismos y formularios implementados actualmente para la incorporacion de familias al Plan Nacional de Seg. Alimentaria en Formosa.,Información político - institucional,Dirección Nacional de Seguridad Alimentaria,,,Pendiente,,,
45.0,90,MDS-804-2015,Abierto,Ministerio de Desarrollo Social,N-84768-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,"N° de pensiones con ontributivas otorgadas en Formosa desagregado por tipo de pension, centro de atencion local, departamento y localidad.",Información político - institucional,Comisión Nacional de Pensiones Sociales,,,Pendiente,,,
46.0,91,MDS-805-2015,Abierto,Ministerio de Desarrollo Social,N-84773-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,Formulario de constancias que corresponde entregar a los solicitantes de pensiones no contributivas durante el trámite de las actuaciones.,Información político - institucional,Comisión Nacional de Pensiones Sociales,,,Pendiente,,,
47.0,92,MDS-806-2015,Abierto,Ministerio de Desarrollo Social,N-84772-2015,Nota,Mesa General de entradas,Ministra de Desarrollo Social,2015-11-16T00:00:00-03:00,11/16/2015,2015-11-18T00:00:00-03:00,11/18/2015,Particular,"N° de Pensionesno contributivas solicitadas en la pcia. Formosa que se encuentran clasificadas por expedientes con tramites ausentes, desagregado por centro de atencion local, depto y localidad.",Información político - institucional,Comisión Nacional de Pensiones Sociales,,,Pendiente,,,
48.0,93,MAGP 1/2015,Cerrado en plazo,"Ministerio de Agricultura, Ganadería y Pesca",S05:0000543/2015,Nota,Mesa General de entradas,"M. de Agricultura, Ganaderia y Pesca",2015-01-06T00:00:00-03:00,1/6/2015,2015-01-06T00:00:00-03:00,1/6/2015,Medios de comunicación,Solicita informacion sobre actividades organizadas por la Coordinacion de Eventos y Fiestas Populares.,Información político - institucional,Ss de Coordinación Institucional,En el plazo máximo de 20 días,Por mail,Brindó la información,2015-01-28T00:00:00-03:00,28/01/2015,Sec de Relaciones Institucionales
49.0,94,SLyT-1/2015,Cerrado en plazo,Secretaría Legal y Técnica,191080-15-2,Nota,Mesa General de entradas,Sec. Legal y Tecnica,2015-03-05T00:00:00-03:00,3/5/2015,2015-03-05T00:00:00-03:00,3/5/2015,Particular,Solicitud de copias y tomar vista del expediente de la referencia originado en la CO.NA.DIS,Actuaciones administrativas,,En el plazo de 10 días,,Brindó la información,2015-03-06T00:00:00-03:00,06/03/2015,
50.0,95,SLyT-2/2015,Cerrado en plazo,Secretaría Legal y Técnica,193782-15-2,Nota,Mesa General de entradas,Sec. Legal y Tecnica,2015-04-16T00:00:00-03:00,4/16/2015,2015-04-16T00:00:00-03:00,4/16/2015,Organización Social Comunitaria,Plazo estimativo dictado decreto reglamentario Ley N° 26.689 y vista actuaciones,Normativa/ documentos oficiales,,,,Devuelta por no corresponder al organismo,2015-04-30T00:00:00-03:00,30/04/2015,
51.0,96,SLyT-3/2015,Cerrado en plazo,Secretaría Legal y Técnica,193783-15-2,Nota,Mesa General de entradas,Sec. Legal y Tecnica,2015-04-16T00:00:00-03:00,4/16/2015,2015-04-16T00:00:00-03:00,4/16/2015,Organización Social Comunitaria,falta de elaboracion de listado de enfermedades poco frecuentes Res 2329/14 Salud,Normativa/ documentos oficiales,,,,Derivada a otro organismo,2015-04-30T00:00:00-03:00,30/04/2015,
52.0,97,SLyT-4/2015,Cerrado en plazo,Secretaría Legal y Técnica,901-43733-15-2,Nota,Máxima autoridad (Sobre cerrado o mail),Jefatura de Gabinete de Ministros,2015-04-22T00:00:00-03:00,4/22/2015,2015-04-22T00:00:00-03:00,4/22/2015,Senador/Diputado u otro cargo electo,copia cert. de los actos administrativos que reglamenten la Ley N° 2797,Normativa/ documentos oficiales,,En el plazo de 10 días,,No se entregó por inexistencia de información (art 5),2015-08-04T00:00:00-03:00,04/08/2015,
53.0,98,MI – 2015,Cerrado con Mora,Ministerio de Industria,0024436/2015,Nota,Mesa de Entradas de Unidad Ministro,Enlace,2015-02-05T00:00:00-03:00,2/5/2015,2015-02-05T00:00:00-03:00,2/5/2015,particular,"Detalle de la Planta de Personal que integra el ministerio, Entes Descentralizados, Autarquicos o Sociedades del Estadosy reparticiones incluidas en el Presupuesto de 2014",Información político - institucional,Direccion General de Rrhh y Organización,30 días,Nota,Brindó la información,2015-03-25T00:00:00-03:00,25/03/2015,Direccion General de RRHH y Organización 
54.0,99,MI – 2015,Abierto,Ministerio de Industria,EXP-S01:0259409/2015,Nota,Mesa de Entradas del Ministerio de Industria,Enlace,2015-09-11T00:00:00-03:00,9/11/2015,2015-09-11T00:00:00-03:00,9/11/2015,Senador/Diputado u otro cargo electo,Información sobre contratación entre el Ministerio de Indsutria y el Hotel Alto Calafate en el marco del III Congreso de la Industria en el año 2012,"Contrataciones, licitaciones y concesiones públicas",Inpi - Sepyme,,-,Pendiente,,,
55.0,100,MED-01/15,Cerrado en plazo,Ministerio de Educación,E 2051/15,Nota,Mesa General de entradas,Ministro,2015-02-11T00:00:00-03:00,2/11/2015,2015-02-11T00:00:00-03:00,2/11/2015,Senador/Diputado u otro cargo electo,"Informes estadísticos que revelen el impacto en el ámbito educativo de los feriados inamovibles, feriados trasladables y feriados turísticos del 2010 a la fecha, en lo que respecta al desarrollo de planes de estudios y cumplimiento de días lectivos","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Directora nacional de información y evaluación de la calidad educativa
56.0,101,MED-02/15,Cerrado en plazo,Ministerio de Educación,E 2036/15,Nota,Mesa General de entradas,Ministro,2015-02-13T00:00:00-03:00,2/13/2015,2015-02-13T00:00:00-03:00,2/13/2015,Particular,"Resultados de las ""Investigaciones sobre Aspectos Educativos de la Asignación Universal por Hijo Fase II año 2013""",Implementación de políticas públicas,Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Directora nacional de información y evaluación de la calidad educativa
56.0,102,MED-03/15,Cerrado en plazo,Ministerio de Educación,E 2036/15,Nota,Mesa General de entradas,Ministro,2015-02-13T00:00:00-03:00,2/13/2015,2015-02-13T00:00:00-03:00,2/13/2015,Particular,Información cuantitativa de la magnitud y forma en que la Asignación Universal por Hijo ha incidido en los indicadores educativos,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Directora nacional de información y evaluación de la calidad educativa
56.0,103,MED-04/15,Cerrado en plazo,Ministerio de Educación,E 2036/15,Nota,Mesa General de entradas,Ministro,2015-02-13T00:00:00-03:00,2/13/2015,2015-02-13T00:00:00-03:00,2/13/2015,Particular,"Detalle para años 2011, 2012, 2013, 2014 y 2015, según nivel educativo, la cantidad de niños/as y adolescentes que siendo receptores de AUH abandonaron su escolaridad, repitieron o cuentan con sobre-edad","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Directora nacional de información y evaluación de la calidad educativa
56.0,104,MED-05/15,Cerrado en plazo,Ministerio de Educación,E 2036/15,Nota,Mesa General de entradas,Ministro,2015-02-13T00:00:00-03:00,2/13/2015,2015-02-13T00:00:00-03:00,2/13/2015,Particular,Existe diagnóstico sobre el perfil socioeducativo de los receptores de la AUH,Implementación de políticas públicas,Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-02-27T00:00:00-03:00,27/02/2015,Directora nacional de información y evaluación de la calidad educativa
57.0,105,MED-06/15,Cerrado en plazo,Ministerio de Educación,EXP-JGM 12570/15,Nota,Mesa General de entradas,Jefe de Gabinete de Ministros,2015-03-16T00:00:00-03:00,3/16/2015,2015-03-26T00:00:00-03:00,3/26/2015,Particular,"Información sobre los contratos celebrados para la producción y/o transmisión de programación para el año 2015 (sujetos contratados, objeto, plazos y montos y copias de contratos para las producciones televisivas) por el canal DEPORTV de la Tda",Información político - institucional,Educ.Ar Sociedad del Estado,En el plazo de 20 días,Por carta,Brindó la información,2015-04-15T00:00:00-03:00,15/04/2015,Gerente general Educar SE
57.0,106,MED-07/15,Cerrado en plazo,Ministerio de Educación,EXP-JGM 12570/15,Nota,Mesa General de entradas,Jefe de Gabinete de Ministros,2015-03-16T00:00:00-03:00,3/16/2015,2015-03-26T00:00:00-03:00,3/26/2015,Particular,"Información sobre las personas contratadas para el año 2015 para la conducción y/o producción de programación (locutores, presentadores, comentaristas, etc. Con información de los términos de contratación: plazo, tareas asignadas, montos) para DEPORTV de la Tda",Políticas de Recursos Humanos,Educ.Ar Sociedad del Estado,En el plazo de 20 días,Por carta,Brindó la información,2015-04-15T00:00:00-03:00,15/04/2015,Gerente general Educar SE
57.0,107,MED-08/15,Cerrado en plazo,Ministerio de Educación,EXP-JGM 12570/15,Nota,Mesa General de entradas,Jefe de Gabinete de Ministros,2015-03-16T00:00:00-03:00,3/16/2015,2015-03-26T00:00:00-03:00,3/26/2015,Particular,"Información respecto de los contratos celebrados con la productora Inquieto. Objeto de contratación, plazos y montos, copia de los contratos para las productoras televisivas para DEPORTV de la Tda",Políticas de Recursos Humanos,Educ.Ar Sociedad del Estado,En el plazo de 20 días,Por carta,Brindó la información,2015-04-15T00:00:00-03:00,15/04/2015,Gerente general Educar SE
58.0,108,MED-2482/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,"Cuáles son los lineamientos, propuestas, estrategias y las acciones dirigidas a la promoción de la donación de órganos y tejidos en los distintos niveles y modalidades?",Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
58.0,109,MED-2483/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,Se realizaron en 2013 y 2014 jornadas anuales destinadas a docentes de todos los niveles y modalidades sobre el tema? Está pautada alguna para el 2015?,Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
58.0,110,MED-2484/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,Se arbitraron los medios para incorporar un abordaje sistematizado e interdisciplinari de la promoción de la donación de órganos y tejidos para trasplante en los ámbitos educativos de la gestión pública y privada? Cuáles?,Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
58.0,111,MED-2485/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,Qué acciones masivas se diseñaron desde las instituciones educativos para instalar mensajes y actitudes positivas frente a la donación de órganos y tejidos para transplante?,Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
58.0,112,MED-2486/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,Cómo ha promovido el Ministerio de Educación y sus dependencias el trabajo educativo en conjunto con las organizaciones vinculadas a la temática de la donación de órganos?,Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
58.0,113,MED-2487/15,Cerrado fuera de plazo,Ministerio de Educación,E 3657/15,Nota,Mesa General de entradas,Ministro,2015-03-09T00:00:00-03:00,3/9/2015,2015-03-09T00:00:00-03:00,3/9/2015,Organización Social Comunitaria,Cómo ha promovido el Ministerio de Educación la participación del grupo familiar de los alumnos en el abordaje de la temática de la donación de órganos y tejidos para transplante?,Implementación de políticas públicas,Subsecretaría de Equidad y Calidad Educativa,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-16T00:00:00-03:00,16/04/2015,Subsecretario de Equidad y Calidad Educativa
59.0,114,MED-2488/15,Cerrado en plazo,Ministerio de Educación,E 7436/15,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,Ninguno,2015-04-15T00:00:00-03:00,4/15/2015,2015-04-15T00:00:00-03:00,4/15/2015,Particular,"Partida presupuestaria asignada a las universidades públicas nacionales correspondiente al período 2010-2015, deglose por casa de estudio y rubro de asignación",Asignación de presupuesto,Secretaría de Políticas Universitarias,en el plazo de 10 días,,Brindó la información,2015-04-27T00:00:00-03:00,27/04/2015,Directora Nacional de Presupuesto e Información Universitaria
59.0,115,MED-2489/15,Cerrado en plazo,Ministerio de Educación,E 7436/15,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,Ninguno,2015-04-15T00:00:00-03:00,4/15/2015,2015-04-15T00:00:00-03:00,4/15/2015,Particular,"Matrícula de las universidades nacionales, identificando casa de estudios y carrera","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Secretaría de Políticas Universitarias,en el plazo de 10 días,,Brindó la información,2015-05-20T00:00:00-03:00,20/05/2015,Jefa de Departamento de Información Universitaria
60.0,116,MED-2490/15,Cerrado en plazo,Ministerio de Educación,E 8876/15,Nota,Mesa General de entradas,Ninguno,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,"Estadísticas sobre los grados de alfabetización de los niños de 5 a 12 años a nivel nacional, discriminado por extranjeros y argentinos","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-05-21T00:00:00-03:00,21/05/2015,"Directora de Información Estadística, Informes, Estudios e Investigaciones Oficiales Educativa"
61.0,117,MED-2491/15,Cerrado en plazo,Ministerio de Educación,E 8877/15,Nota,Mesa General de entradas,Ninguno,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,Estadísticas desde el 2011 hasta la actualidad de las pruebas PISA en los colegios secundarios a nivel nacional.,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-05-22T00:00:00-03:00,22/05/2015,Directora nacional de información y evaluación de la calidad educativa
62.0,118,MED-2492/15,Cerrado en plazo,Ministerio de Educación,E 8878/15,Nota,Mesa General de entradas,Ninguno,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,"Estadísticas a nivel nacional osbre chicos repetidores en escuelas secundarias, desagregado por zona, región y nivel adquisitivo de la familia.","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-05-21T00:00:00-03:00,21/05/2015,"Directora de Información Estadística, Informes, Estudios e Investigaciones Oficiales Educativa"
63.0,119,MED-2493/15,Cerrado en plazo,Ministerio de Educación,E 8894/15,Nota,Mesa General de entradas,Ministro,2015-05-05T00:00:00-03:00,5/5/2015,2015-05-05T00:00:00-03:00,5/5/2015,Particular,"Cantidad de alumnos ingresantes a la Universidad de Buenos Aires y a las universidades privadas (2013, 2014 y 2015) en todas las carreras","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Presupuesto E Información Universitaria - Departamento de Información Universitaria,en el plazo de 10 días,,Brindó la información,2015-05-08T00:00:00-03:00,08/05/2015,Jefe de Departamento de Información Universitaria
64.0,120,MED-2494/15,Cerrado en plazo,Ministerio de Educación,E 9074/15,Nota,Mesa General de entradas,Ninguno,2015-05-07T00:00:00-03:00,5/7/2015,2015-05-07T00:00:00-03:00,5/7/2015,Particular,Monto presupuestario destinado a cada una de las universidades nacionales,Asignación de presupuesto,Dirección Nacional de Presupuesto E Información Universitaria,en el plazo de 10 días,,Brindó la información,2015-05-13T00:00:00-03:00,13/05/2015,Directora Nacional de Presupuesto e Información Universitaria
65.0,121,MED-2495/15,Cerrado en plazo,Ministerio de Educación,E 10756/15,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,Ninguno,2015-05-22T00:00:00-03:00,5/22/2015,2015-05-22T00:00:00-03:00,5/22/2015,Particular,Presupuesto universidades nacionales período 2004-2014,Asignación de presupuesto,Dirección Nacional de Presupuesto E Información Universitaria,en el plazo de 10 días,,Brindó la información,2015-05-29T00:00:00-03:00,29/05/2015,Directora Nacional de Presupuesto e Información Universitaria
65.0,122,MED-2496/15,Cerrado en plazo,Ministerio de Educación,E 10756/15,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,Ninguno,2015-05-22T00:00:00-03:00,5/22/2015,2015-05-22T00:00:00-03:00,5/22/2015,Particular,Presupuesto para proyectos de investigación destinado a cada universidad en el período 2004-2014,Asignación de presupuesto,Dirección Nacional de Presupuesto E Información Universitaria,en el plazo de 10 días,,Brindó la información,2015-05-29T00:00:00-03:00,29/05/2015,Directora Nacional de Presupuesto e Información Universitaria
66.0,123,MED-2501/15,Cerrado en plazo,Ministerio de Educación,E 11090/15,Nota,Mesa General de entradas,Ministro,2015-05-27T00:00:00-03:00,5/27/2015,2015-05-27T00:00:00-03:00,5/27/2015,Particular,Cuál fue la tasa de analfabetismo en los años 2010-2014?,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-06-23T00:00:00-03:00,23/06/2015,Directora de Información Estadística Educativa
66.0,124,MED-2502/15,Cerrado en plazo,Ministerio de Educación,E 11090/15,Nota,Mesa General de entradas,Ministro,2015-05-27T00:00:00-03:00,5/27/2015,2015-05-27T00:00:00-03:00,5/27/2015,Particular,Cuántos alumnos se encuentran registrados actualmente en el nivel medio en ámbito público y privado?,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-06-23T00:00:00-03:00,23/06/2015,Directora de Información Estadística Educativa
66.0,125,MED-2503/15,Cerrado en plazo,Ministerio de Educación,E 11090/15,Nota,Mesa General de entradas,Ministro,2015-05-27T00:00:00-03:00,5/27/2015,2015-05-27T00:00:00-03:00,5/27/2015,Particular,Cada cuanto tiempo se realizan modificaciones y actualizaciones en los planes de estudio en educación media?,Información político - institucional,Dirección Nacional de Gestión Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-06-23T00:00:00-03:00,23/06/2015,Coordinadora de áreas curriculares
66.0,126,MED-2504/15,Cerrado fuera de plazo,Ministerio de Educación,E 11090/15,Nota,Mesa General de entradas,Ministro,2015-05-27T00:00:00-03:00,5/27/2015,2015-05-27T00:00:00-03:00,5/27/2015,Particular,Cuáles son las iniciativas/acciones/políticas/prácticas implementadas sobre educación sexual en nivel medio?,Implementación de políticas públicas,Programa Nacional de Educación Sexual Integral,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-07-29T00:00:00-03:00,29/07/2015,
67.0,127,MED-2499/15,Cerrado en plazo,Ministerio de Educación,E 10550/15,Nota,Mesa General de entradas,DNIECE,2015-05-29T00:00:00-03:00,5/29/2015,2015-05-29T00:00:00-03:00,5/29/2015,Particular,"Resultados de la evaluación PISA realizada en el corriente año y de no haberse realizado, la fecha en la que se realizará","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-06-05T00:00:00-03:00,05/06/2015,Directora nacional de información y evaluación de la calidad educativa
67.0,128,MED-2500/15,Cerrado en plazo,Ministerio de Educación,E 10550/15,Nota,Mesa General de entradas,DNIECE,2015-05-29T00:00:00-03:00,5/29/2015,2015-05-29T00:00:00-03:00,5/29/2015,Particular,Medidas tomadas para mejorar los resultados obtenidos en el 2012,Implementación de políticas públicas,Dirección Nacional de Información y Evaluación de la Calidad Educativa,En el plazo de 20 días,Por carta,Brindó la información,2015-06-05T00:00:00-03:00,05/06/2015,Directora nacional de información y evaluación de la calidad educativa
68.0,129,MED-2506/15,Cerrado fuera de plazo,Ministerio de Educación,E 11339/15,Formulario Voluntario de Solicitud de Información,Mesa General de entradas,Ninguno,2015-05-29T00:00:00-03:00,5/29/2015,2015-05-29T00:00:00-03:00,5/29/2015,Particular,"Detalle de las compras (efectuadas o en ejecución) de libros destinados a la educación pública durante el año 2015 indicando para cada título adquirido: título, editorial, cantidad adquirida, precio unitario.",Implementación de políticas públicas,Dirección Nacional de Políticas Socioeducativas,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-08-28T00:00:00-03:00,28/08/2015,Director nacional de políticas socioeducativas
69.0,130,MED-2505/15,Cerrado fuera de plazo,Ministerio de Educación,E 11760/15,Nota,Mesa General de entradas,Ministro,2015-06-03T00:00:00-03:00,6/3/2015,2015-06-03T00:00:00-03:00,6/3/2015,Sindicato,Solicitan acceso al acta 103 del directorio de Educ.ar SE y toda otra acta que esté relacionada con condiciones de trabajo o salariales del personal de Educ.ar SE,Normativa/ documentos oficiales,Educ.Ar Sociedad del Estado,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-08-03T00:00:00-03:00,03/08/2015,Responsable de RRHH de EDUCAR SE
